search_method,search_step,search_phase,acquisition_expected_improvement,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,roc_auc,gini,average_precision,log_loss
bayesian,21,bayesian_expected_improvement,0.003803693374358438,226,2,0.0356928874548821,6.451744314129944,0.9715533122668407,0.9638629776145726,16.989827053441736,1.8423585728106313,1.5816742548011875,0.7746451041430475,0.5492902082860951,0.6726646817429378,0.5499630023440598
bayesian,80,bayesian_expected_improvement,6.262499484247971e-06,349,2,0.024543809588491835,1.052400123362505,0.7603519020460103,0.923151349500928,23.01590150171016,0.1241154484780442,1.0687479546360241,0.7744808740853445,0.548961748170689,0.6731386869082328,0.5488517090181456
bayesian,25,bayesian_expected_improvement,0.0004349595252048499,443,2,0.019556234799809457,1.2021943077100874,0.7269895014380291,0.9558949670520924,23.4063847998461,0.6878995773691163,2.1895467082475655,0.7744406112324882,0.5488812224649764,0.6734347483967283,0.549194970690935
bayesian,68,bayesian_expected_improvement,6.182334965250947e-05,182,2,0.030904760526371935,1.6776521053029352,0.8814647320584059,0.983297078023813,7.207829053884502,0.012968071396379633,1.0562700819415056,0.7743002210218711,0.5486004420437423,0.67102480694926,0.5516562332244126
bayesian,45,bayesian_expected_improvement,3.9264690322955085e-05,344,2,0.015843938640307,7.20280564652227,0.6506674475718021,0.9832707290342615,0.48505205045184047,0.6549217120416772,2.584907720882542,0.7741799622376823,0.5483599244753645,0.672270924135021,0.5514484881420723
bayesian,83,bayesian_expected_improvement,9.658194310335727e-06,353,2,0.020225239393367036,5.016701644019219,0.9439745482897179,0.9990415453617477,7.9821848711070675,0.0008173651834435462,1.8325935902829802,0.7741709560732275,0.548341912146455,0.6719711169686291,0.5499412740820726
bayesian,35,bayesian_expected_improvement,0.0008101481878051513,423,2,0.015435901962182502,2.5180750090864232,0.9653876835310471,0.855138539186495,12.863489685559477,4.986721367085135,0.5358502238127636,0.7741145351017908,0.5482290702035817,0.6718146821955775,0.5517830925194126
bayesian,47,bayesian_expected_improvement,0.00031532094959565245,202,2,0.02499314264182837,3.204892541965166,0.962742010004465,0.9942649454996386,0.720041208232471,0.17181389222298768,2.5631619142132824,0.7740896357059455,0.5481792714118909,0.6708078681717051,0.5525773599102664
bayesian,26,bayesian_expected_improvement,0.00036535725190259727,183,2,0.029150588696970025,0.9149402408263085,0.8387393761015534,0.8095020654678148,0.9594809603799448,0.8256438969575591,1.5148409789895794,0.7740832784133893,0.5481665568267786,0.6718032372239822,0.5521319737849087
bayesian,64,bayesian_expected_improvement,6.021133295937544e-05,286,2,0.0301790914983103,7.2099023065666685,0.8974511340863544,0.993023737238705,21.28560738927964,0.35981588486166277,2.734447410710434,0.7740583790175439,0.5481167580350879,0.6726704487637818,0.5496436861280171
bayesian,28,bayesian_expected_improvement,0.00046569290937304407,314,2,0.021048065795381047,0.5350618626847131,0.8435157969808386,0.6958870927809016,13.071382249837379,4.15533446154324,1.487606180343226,0.7740104344361823,0.5480208688723647,0.6725672562445852,0.5520246653825596
bayesian,66,bayesian_expected_improvement,9.51424756281786e-05,405,2,0.015513124226236314,7.181214777300359,0.9453589480190058,0.9093328792057673,3.9924857891268606,0.30175587011046096,2.190328797048135,0.773938385120545,0.54787677024109,0.6716403632089185,0.5511993689549083
bayesian,65,bayesian_expected_improvement,4.80278079332429e-05,270,2,0.02667917919326861,2.7052334146492587,0.7213082827132742,0.7459057501894063,9.988142324302249,4.7125164297825615,0.8497703722002647,0.7739013009139668,0.5478026018279336,0.6729826426928442,0.5514811855948216
bayesian,53,bayesian_expected_improvement,1.7732470801392594e-05,446,2,0.015250492637798355,9.320479263896628,0.6947715951272853,0.977426485174514,3.277602347709995,0.0020986982932826035,0.21568632752005035,0.7737598511545903,0.5475197023091807,0.6727406667103961,0.5501570243640753
bayesian,19,bayesian_expected_improvement,0.0064535798283200975,304,2,0.01653732899663755,11.164213249513693,0.7348237932978668,0.8821587483264006,11.495994728735303,0.038684499339482675,0.4594335002518686,0.7736893911620919,0.5473787823241838,0.6709849453113579,0.5534259149917579
bayesian,36,bayesian_expected_improvement,0.00010475417193779623,502,2,0.019520170517911467,5.078578278096276,0.7141894726635306,0.7686400250342165,4.33162092523431,3.8961263774607073,0.39897327451993203,0.7736501878579951,0.5473003757159902,0.6734141772778643,0.5489674091555242
bayesian,63,bayesian_expected_improvement,2.2550269210760244e-05,178,2,0.037588822663458005,2.4806892027100065,0.8337907581132608,0.6662043571932721,1.1338268905925593,2.3771811993320897,1.6643519712697743,0.773613103651417,0.547226207302834,0.6726800634763133,0.551518021644485
bayesian,52,bayesian_expected_improvement,0.00018603354155194727,281,2,0.016903357548001593,0.7130986212078055,0.6578940721386968,0.9197897302879707,20.066089756826518,0.00047668250278338125,0.29461069324718325,0.7735821118502052,0.5471642237004104,0.6710596845640036,0.5546593774586746
bayesian,60,bayesian_expected_improvement,2.2310413114215737e-05,353,2,0.028709719186210028,9.572335337007793,0.781970951320457,0.8207389324461195,14.424689438750208,0.003447077788722605,2.3785083586538445,0.7735754896704592,0.5471509793409184,0.6730179090036367,0.548518141313909
bayesian,32,bayesian_expected_improvement,0.00015814700430973944,492,2,0.017562629076689543,0.7450609675526412,0.7412963441461062,0.9122629763062092,0.25214174822224844,4.188823042053888,0.8214885617609142,0.7735225122324904,0.5470450244649807,0.6729651739195162,0.549506149552564
bayesian,43,bayesian_expected_improvement,0.00027859009205364677,598,2,0.016578994677595972,1.1110400671129959,0.6932354921048178,0.7299462592434213,21.62937769349938,2.446514950748917,0.21576893225817306,0.7735214526837311,0.5470429053674621,0.6730190529890453,0.549820609129923
bayesian,70,bayesian_expected_improvement,9.416357910130968e-06,384,2,0.017614616931567854,0.9907333539239976,0.7475615144770169,0.7427420858962377,14.24827767893185,0.027931671391035605,0.8355301281346627,0.7734515224656124,0.5469030449312249,0.6719273357492155,0.5508741021747438
bayesian,76,bayesian_expected_improvement,9.007476077513888e-06,290,2,0.01564525339864063,0.500003539245353,0.7201594205579928,0.8913913869556414,8.931565125236844,0.3524766302549626,1.474409585145168,0.7734467544961952,0.5468935089923903,0.6703915195462617,0.5540271725994503
bayesian,58,bayesian_expected_improvement,1.87037651475643e-05,483,2,0.015035531366963778,2.64039247022916,0.6535658414060492,0.9540845249410124,0.2027857544399015,0.050654667805795646,1.3318191846304634,0.7732433211343952,0.5464866422687904,0.6719479377155222,0.5499093985493384
bayesian,41,bayesian_expected_improvement,0.00017782767092653365,159,2,0.056406568856150266,2.438778589228095,0.9938779329623728,0.7000431120894466,23.906301747339203,1.0077213833730958,0.6683176202137567,0.7732329905339914,0.5464659810679828,0.6717199131417075,0.5505855144106834
bayesian,67,bayesian_expected_improvement,4.588673594569436e-06,372,2,0.018802941973538063,0.6312590467912412,0.9836273749333686,0.8278357245231099,0.5033031297667666,0.0792213238297711,0.41574010780626935,0.7732178919641702,0.5464357839283405,0.6715685628099177,0.551387076421086
bayesian,89,bayesian_expected_improvement,3.6122431893691875e-05,864,2,0.0159958133642188,9.820814751272042,0.7444896266741248,0.9802332352387055,16.14163571232359,0.39327615839230656,1.23625216943534,0.7731363067096985,0.5462726134193969,0.6729971474153358,0.5476075736586667
bayesian,37,bayesian_expected_improvement,0.0001487884579340743,170,2,0.04418165075628771,7.401876074470424,0.8072260536511595,0.9438242011739034,1.0365055124627973,0.0004192232163855459,2.776362283150847,0.7730759124304141,0.5461518248608281,0.6720651984768276,0.5501429475534916
bayesian,78,bayesian_expected_improvement,4.8944397278340824e-05,181,2,0.04331275156235499,1.1446308860042385,0.9616324939464935,0.7681836689897185,2.122308505067047,0.021764594725997947,1.8401607679842804,0.7730581649886947,0.5461163299773895,0.6723964953015058,0.5502383712087847
bayesian,54,bayesian_expected_improvement,3.151184251301464e-05,290,2,0.019245853665464534,4.683884675283344,0.9468044220869616,0.6509866065336465,1.2627518394128134,0.12592226901258644,2.662870722475835,0.7730049226635359,0.5460098453270719,0.6714785212676418,0.5532652589710477
bayesian,40,bayesian_expected_improvement,0.00022654620141623072,175,2,0.028037283653139407,3.9037498714140915,0.8999453172435332,0.7704658187063829,11.872673286546574,2.708860910980653,0.8946007178220668,0.7729768446214127,0.5459536892428254,0.6700313113907898,0.5548371175261935
bayesian,13,random_initialization,,322,2,0.030816661861373135,0.8346212489828156,0.9753941783199005,0.9328421328475459,4.258147243814404,1.244420546974343,2.4110162306973435,0.7729021464338768,0.5458042928677536,0.6724126041627477,0.5493702172962357
bayesian,79,bayesian_expected_improvement,8.261997756071734e-06,508,2,0.016827687305839806,3.863786535349189,0.6807738982545173,0.9852645250532008,3.131099459988405,0.00027759077689040447,2.692766743184847,0.7727124872059488,0.5454249744118975,0.6722042727912172,0.5496767903540096
bayesian,42,bayesian_expected_improvement,0.00010731929168161523,473,2,0.03529502829006042,6.358601181623481,0.6740349530613463,0.7405384933707454,22.140574456727485,0.002139302768573164,2.554549329515207,0.77265950976798,0.5453190195359601,0.6718673223249554,0.547780735331458
bayesian,82,bayesian_expected_improvement,4.5453817621441526e-06,728,2,0.016659386404709712,5.393810000475192,0.7854903094561456,0.7264837820373818,2.994557837033475,2.9820203600711492,2.9716343303277597,0.7726234851101613,0.5452469702203226,0.6724699812391696,0.5489498275036258
bayesian,87,bayesian_expected_improvement,1.350307006478512e-05,705,2,0.016212901456102755,0.6794743148540213,0.969795643473558,0.8076999307318562,14.474366939703383,0.018555649085157364,2.5339058916569317,0.7726234851101613,0.5452469702203226,0.6717963965611835,0.549417762355449
bayesian,49,bayesian_expected_improvement,0.00013415890581605628,284,2,0.02985138871881452,10.364860767351454,0.8868903587485462,0.6906546718923633,0.2554434833231104,0.3150210459667773,0.9960476968550475,0.7726038834581128,0.5452077669162256,0.6724656095636771,0.5499609066338688
bayesian,23,bayesian_expected_improvement,0.0011242722867412526,205,2,0.022379955781441696,2.721051022734583,0.9898192246269677,0.7750323958158738,20.461411201712277,0.0001511834980728193,2.780616608443975,0.7725893146626716,0.5451786293253431,0.6690137257896456,0.5561779546274427
bayesian,74,bayesian_expected_improvement,9.243992728770299e-05,369,2,0.02768930917364158,1.4652459708929608,0.9617784827452226,0.6667701724732995,6.940299133541074,0.8428005502301369,0.3748242511080677,0.7724751482838489,0.5449502965676978,0.6715025323822705,0.5494629856961244
bayesian,62,bayesian_expected_improvement,0.00022827121198580155,210,2,0.05163860670190676,0.6914705518921489,0.8425456666089707,0.6942736724612293,3.8359114805987486,4.672705734202683,0.47868094755491064,0.7724491893392442,0.5448983786784884,0.6734008098688973,0.5495343700604018
bayesian,61,bayesian_expected_improvement,2.8501457397580806e-05,172,3,0.029191050787357137,0.8712195676911276,0.7475336879521908,0.9588630041978636,4.677255253920805,0.9923705656364395,1.8918418957886558,0.7722891974765786,0.5445783949531573,0.6713609246294803,0.5488516177209546
bayesian,20,bayesian_expected_improvement,0.0015688320992966335,180,2,0.020172536234402506,3.934175427812258,0.8485070807696873,0.8437003464073046,0.2332548915281201,0.016041342177363468,2.7738684535275855,0.772256616352228,0.544513232704456,0.6693482776594524,0.557092147401132
bayesian,57,bayesian_expected_improvement,9.560556223963959e-06,526,2,0.017230904073941147,2.415910945150622,0.7228878199963994,0.8154508637789231,0.9114709802659813,0.00026992360596276964,0.49856534030074073,0.7722505239468616,0.5445010478937231,0.6723897997525962,0.54935390741205
bayesian,85,bayesian_expected_improvement,3.4038263884044073e-06,632,2,0.015476605336863371,7.0413105457792105,0.9855704503407218,0.9936945561232429,2.1700884135648892,0.7618735973703245,2.448245439637735,0.7722457559774443,0.5444915119548885,0.6715355577925942,0.549966669694808
bayesian,27,bayesian_expected_improvement,0.00027138399520598635,151,5,0.023141675562749885,1.1018798444016022,0.9669695145838072,0.6519219903043433,23.972296689672827,0.00014755789174315028,0.3616365584806789,0.7720783472734631,0.5441566945469263,0.6671850772806625,0.5531850595612867
bayesian,81,bayesian_expected_improvement,1.2180511478513997e-05,891,2,0.017789044506970376,0.5978481183003108,0.7553862373489029,0.6641239125624449,13.501619109483439,0.03254182460474181,1.5485857858692573,0.7720730495296664,0.5441460990593328,0.672336940526038,0.5483224345214932
bayesian,71,bayesian_expected_improvement,3.718628843234717e-05,180,2,0.052716535292528455,3.862551670959524,0.6710771927859156,0.9265392431700359,11.405960620681192,0.008092488369696971,1.8559580752847147,0.771809221888582,0.5436184437771641,0.6717004499694622,0.5494298383628907
bayesian,31,bayesian_expected_improvement,0.0001364546679940985,159,4,0.017223637889654055,0.9012280178761175,0.6845173439055358,0.7823720730669436,9.323208827553062,0.21084566018307052,0.32008542992339417,0.7716791622783689,0.5433583245567377,0.6680531257498252,0.5559527751190052
bayesian,86,bayesian_expected_improvement,8.503048237141647e-06,307,4,0.016734245680904675,2.088639133171737,0.7320504355233612,0.6627863947934671,3.7436301991099428,0.02075687015147057,0.04612647435712314,0.771550162216915,0.5431003244338299,0.6683147558156893,0.5476319981021175
bayesian,22,bayesian_expected_improvement,0.0008245942009982968,374,3,0.023623129301477818,8.618975076021627,0.9105709364822432,0.6869749971045847,22.893267602747528,0.2721241847550862,2.5515663288149235,0.7715284414673479,0.5430568829346958,0.6707960076284867,0.5478805737026475
bayesian,4,random_initialization,,536,4,0.016835254007428066,3.4475473429405006,0.7096834432905521,0.6727680575448478,19.532488618901535,3.447275228705856,2.4251920443493833,0.7712524290155308,0.5425048580310616,0.6704502037015935,0.545497141528337
bayesian,33,bayesian_expected_improvement,0.0009493018463862789,204,2,0.06644674985609145,3.527173204841243,0.8336776074689394,0.6732397113212396,0.9912080619366205,0.004867017955178103,2.11445019817741,0.7711570696271872,0.5423141392543744,0.6714802630037218,0.549581672028265
bayesian,56,bayesian_expected_improvement,4.859153807025107e-05,162,3,0.029211007929128497,0.6504385093483669,0.7439024233114286,0.9190880828127835,0.21383523748886948,0.01578442223224425,1.5322379684988274,0.7711496527858716,0.5422993055717431,0.66990247281871,0.5502467133851086
bayesian,88,bayesian_expected_improvement,2.2044687220493715e-06,170,3,0.06510828792195922,9.28281029531164,0.7984907424779408,0.7335455470434962,0.43811658765171585,4.73767504277925,1.365588579603238,0.7707396074159937,0.5414792148319874,0.6699757150874347,0.5465990978722681
bayesian,75,bayesian_expected_improvement,4.249310314655532e-05,620,2,0.031214517990884,2.69151112816736,0.6891021661570519,0.997528931604403,16.054065625168644,0.5449116920444615,1.1391215153636502,0.7706384205094735,0.541276841018947,0.6709469691882327,0.5486391817216699
bayesian,50,bayesian_expected_improvement,0.00029599209775468057,173,5,0.015650210257074207,10.273982999665368,0.883719185380053,0.6873961174260517,0.6826505303167713,3.9380202136177553,0.012639249953400378,0.7706304738937781,0.5412609477875563,0.6672603456582613,0.5567754801817093
bayesian,39,bayesian_expected_improvement,0.00010531648376935218,172,2,0.01712059628875208,6.235045983220988,0.8401900650457932,0.757148507046957,13.698456997239726,0.6513700579810585,2.33446737880112,0.7705316709719665,0.541063341943933,0.6655858666710488,0.5636108269943917
bayesian,46,bayesian_expected_improvement,0.00023176838049318604,896,2,0.015315741554875273,5.026429678971366,0.9593282692476124,0.8495594613824365,0.2671150460388365,0.5703287699415566,0.5590264056650113,0.7704122068493469,0.5408244136986937,0.6709682385504,0.5495557605676868
bayesian,59,bayesian_expected_improvement,5.74420987037522e-06,301,3,0.015952994287517844,0.7167123579210397,0.8209232243403324,0.6645405406479631,1.0314615764145239,0.0374260728593265,1.9563017712508195,0.770310490168447,0.540620980336894,0.6692337762228364,0.5520037015969148
bayesian,29,bayesian_expected_improvement,0.0004076714107442385,202,4,0.015046903995465242,0.5016258270826854,0.6965217741486176,0.8179756764677775,0.2521680947442471,0.24738279687736933,0.08784463536821885,0.770303603101511,0.540607206203022,0.668808984166387,0.5524057236233088
bayesian,30,bayesian_expected_improvement,0.00018627752329434697,784,2,0.017482827038912577,3.8270702899051936,0.970926733058903,0.9622423971254689,0.29949918960751987,0.0022667440939033567,1.563110570586836,0.7700871902674089,0.5401743805348178,0.6700246566095555,0.5500347512353778
bayesian,77,bayesian_expected_improvement,8.710822343364888e-06,180,4,0.03298502052465346,9.499371688338963,0.9331645130209798,0.996234025895548,24.2249282888456,1.0418329271664875,0.8860234709704392,0.7699899766687363,0.5399799533374725,0.6671986586774816,0.548171418451701
bayesian,90,bayesian_expected_improvement,4.005676035614329e-06,394,4,0.018337458887161213,5.969699046364962,0.91573045546084,0.9862326958064696,19.85713925026614,2.784560982339972,0.22795119041126077,0.7697441613565614,0.5394883227131229,0.6666206642108001,0.5471061019567728
bayesian,10,random_initialization,,617,3,0.01756637860201536,1.3433565609073372,0.7638141627093615,0.9053621624183225,4.344408364742963,1.475659183168782,1.4166447754858478,0.7692085594586977,0.5384171189173954,0.668300035772623,0.5478441255230806
bayesian,84,bayesian_expected_improvement,9.048926352521857e-06,892,3,0.015944479305069106,10.723116329323052,0.6821572679189992,0.6613165760927745,1.794584881018815,4.073019769296964,2.7975449486206525,0.7691518736000713,0.5383037472001426,0.6700394157959304,0.5467906478224926
bayesian,44,bayesian_expected_improvement,0.0002643080373274907,432,2,0.03929542433447214,4.049945408070005,0.6969731922534654,0.9784980606438011,1.0164493929289182,0.059213611835557414,0.3321514551222534,0.769147105630654,0.538294211261308,0.6694467646964074,0.5492230390807061
bayesian,72,bayesian_expected_improvement,3.4906343362916436e-05,877,3,0.01589230122734679,11.532484249662344,0.8642641840764766,0.9841824079423149,13.90706043417149,0.07521485297552052,1.670713378911337,0.7690649906018024,0.5381299812036049,0.6681910638701962,0.5474640046550925
bayesian,12,random_initialization,,231,2,0.0729278549450848,1.3578370770099302,0.8279997419076459,0.9676482658741326,0.666458892568479,0.008479632791352576,2.266653415629146,0.7688771855842035,0.537754371168407,0.6696464751846405,0.5498681292437678
bayesian,17,random_initialization,,364,2,0.06822156164816665,2.4704339282119627,0.6680175629374963,0.7475262624828141,16.05394705708334,0.0013356545207446776,0.4346846162736693,0.7686983867310591,0.5373967734621181,0.6677010178202332,0.5487180879763982
