threshold,precision,recall,f1
0.05,0.29933333333333334,1.0,0.46074910210364295
0.055,0.29933333333333334,1.0,0.46074910210364295
0.06,0.29933333333333334,1.0,0.46074910210364295
0.065,0.29933333333333334,1.0,0.46074910210364295
0.07,0.29933333333333334,1.0,0.46074910210364295
0.075,0.29933333333333334,1.0,0.46074910210364295
0.08,0.29933333333333334,1.0,0.46074910210364295
0.08499999999999999,0.29933333333333334,1.0,0.46074910210364295
0.09,0.29933333333333334,1.0,0.46074910210364295
0.095,0.29933333333333334,1.0,0.46074910210364295
0.09999999999999999,0.29933333333333334,1.0,0.46074910210364295
0.105,0.29933333333333334,1.0,0.46074910210364295
0.10999999999999999,0.29933333333333334,1.0,0.46074910210364295
0.11499999999999999,0.29933333333333334,1.0,0.46074910210364295
0.12,0.29933333333333334,1.0,0.46074910210364295
0.12499999999999999,0.29933333333333334,1.0,0.46074910210364295
0.13,0.29933333333333334,1.0,0.46074910210364295
0.135,0.29933333333333334,1.0,0.46074910210364295
0.13999999999999999,0.29933333333333334,1.0,0.46074910210364295
0.145,0.2994331443814605,1.0,0.4608673338465486
0.14999999999999997,0.2994331443814605,1.0,0.4608673338465486
0.15499999999999997,0.299632966299633,1.0,0.46110397946084725
0.15999999999999998,0.2993991989319092,0.9988864142538976,0.46070878274268107
0.16499999999999998,0.2995991983967936,0.9988864142538976,0.4609455292908531
0.16999999999999998,0.3000669792364367,0.9977728285077951,0.46138002059732236
0.175,0.30087306917394224,0.9977728285077951,0.46233230134158926
0.18,0.30209035738368173,0.9977728285077951,0.463768115942029
0.185,0.3032148900169205,0.9977728285077951,0.4650921359979237
0.19,0.3034318722392117,0.9944320712694877,0.4649830773236136
0.195,0.30516592541909,0.9933184855233853,0.4668934833813138
0.19999999999999996,0.3061855670103093,0.9922048997772829,0.4679621848739497
0.20499999999999996,0.3086248701073779,0.9922048997772829,0.4708058124174373
0.20999999999999996,0.31024833857992307,0.987750556792873,0.4721852541921746
0.21499999999999997,0.3112208892025406,0.9821826280623608,0.472668810289389
0.21999999999999997,0.31348074179743224,0.9788418708240535,0.47487844408427876
0.22499999999999998,0.316131360519668,0.9755011135857461,0.4775143090760425
0.22999999999999998,0.3187454412837345,0.9732739420935412,0.4802197802197803
0.235,0.32188999630860093,0.9710467706013363,0.4835042971998891
0.24,0.324374766703994,0.967706013363029,0.48588202404249375
0.245,0.327286470143613,0.9643652561247216,0.4887133182844243
0.24999999999999994,0.3282500953107129,0.9587973273942093,0.489065606361829
0.25499999999999995,0.33140655105973027,0.9576837416481069,0.49241339822502145
0.25999999999999995,0.33398209420007785,0.955456570155902,0.49495240842226707
0.26499999999999996,0.3374063854946788,0.9532293986636972,0.49839883551673947
0.26999999999999996,0.33890214797136037,0.9487750556792873,0.49941383352872215
0.27499999999999997,0.3413751507840772,0.9454342984409799,0.5016248153618907
0.27999999999999997,0.34419551934826886,0.9409799554565702,0.5040262451535938
0.285,0.3468208092485549,0.9354120267260579,0.5060240963855421
0.29,0.34791666666666665,0.9298440979955457,0.5063674954517889
0.295,0.35103244837758113,0.9276169265033407,0.5093243656374198
0.3,0.3541039965620971,0.9175946547884187,0.5110077519379845
0.30499999999999994,0.3568935427574171,0.910913140311804,0.5128526645768025
0.30999999999999994,0.36097560975609755,0.9064587973273942,0.5163336504915953
0.31499999999999995,0.3641670408621464,0.9031180400890868,0.5190400000000001
0.31999999999999995,0.3688562241616904,0.8942093541202673,0.5222764227642277
0.32499999999999996,0.37389277389277387,0.8930957683741648,0.5271114032205061
0.32999999999999996,0.37754618664140216,0.8875278396436526,0.5297441010302425
0.33499999999999996,0.3813192103996148,0.8819599109131403,0.5324369747899159
0.33999999999999997,0.38779527559055116,0.8775055679287305,0.5378839590443686
0.3449999999999999,0.3902561526870919,0.8652561247216035,0.537902388369678
0.3499999999999999,0.3953846153846154,0.8585746102449888,0.5414325842696629
0.3549999999999999,0.4013605442176871,0.8541202672605791,0.5461018155927376
0.35999999999999993,0.40772532188841204,0.8463251670378619,0.5503258508327299
0.36499999999999994,0.411635565312843,0.8351893095768375,0.5514705882352942
0.36999999999999994,0.4154535274356103,0.8262806236080178,0.5529061102831595
0.37499999999999994,0.4199655765920826,0.8151447661469933,0.5543354789852328
0.37999999999999995,0.4268004722550177,0.8051224944320713,0.5578703703703705
0.38499999999999995,0.4304635761589404,0.7962138084632516,0.5588120359515436
0.38999999999999996,0.43366093366093367,0.7861915367483296,0.5589865399841647
0.39499999999999996,0.43734177215189873,0.7694877505567929,0.5577078288942696
0.3999999999999999,0.44134802333117307,0.7583518930957683,0.557968045882835
0.4049999999999999,0.45161290322580644,0.7483296213808464,0.5632858340318524
0.4099999999999999,0.46143154968728284,0.7394209354120267,0.5682498930252461
0.4149999999999999,0.46794871794871795,0.7316258351893096,0.5708079930495221
0.41999999999999993,0.4744525547445255,0.7238307349665924,0.5731922398589065
0.42499999999999993,0.479462285287528,0.7149220489977728,0.5739830129637908
0.42999999999999994,0.4838709677419355,0.7015590200445434,0.5727272727272728
0.43499999999999994,0.490211433046202,0.6971046770601337,0.575632183908046
0.43999999999999995,0.4944,0.688195991091314,0.5754189944134078
0.44499999999999995,0.5004074979625102,0.6837416481069042,0.5778823529411764
0.4499999999999999,0.5083333333333333,0.6792873051224945,0.5815061963775024
0.4549999999999999,0.5166524338172502,0.6737193763919822,0.5848235862735621
0.4599999999999999,0.5198275862068965,0.6714922048997772,0.58600583090379
0.4649999999999999,0.5300353356890459,0.6681514476614699,0.5911330049261084
0.4699999999999999,0.5347159603246168,0.6603563474387528,0.5909317389138017
0.4749999999999999,0.5375457875457875,0.6536748329621381,0.5899497487437186
0.4799999999999999,0.5386046511627907,0.6447661469933185,0.5869234668018246
0.48499999999999993,0.5456273764258555,0.6391982182628062,0.5887179487179487
0.48999999999999994,0.5531914893617021,0.6369710467706013,0.5921325051759836
0.49499999999999994,0.553921568627451,0.6291759465478842,0.5891553701772679
0.49999999999999994,0.5632530120481928,0.6247216035634744,0.5923970432946146
0.5049999999999999,0.5680655066530195,0.6180400890868597,0.592
0.5099999999999999,0.5742677824267782,0.611358574610245,0.5922330097087379
0.5149999999999999,0.5835117773019272,0.6069042316258352,0.5949781659388645
0.5199999999999999,0.5892661555312158,0.5991091314031181,0.5941468801766979
0.5249999999999999,0.5946248600223965,0.5913140311804009,0.592964824120603
0.5299999999999999,0.6011560693641619,0.579064587973274,0.5899035734543392
0.5349999999999999,0.6106508875739645,0.5746102449888641,0.5920826161790017
0.5399999999999999,0.6138014527845036,0.5645879732739421,0.5881670533642691
0.5449999999999999,0.6221945137157108,0.5556792873051225,0.5870588235294119
0.5499999999999999,0.6234096692111959,0.5456570155902004,0.5819477434679334
0.5549999999999999,0.6246753246753247,0.5356347438752784,0.5767386091127098
0.5599999999999999,0.6374501992031872,0.534521158129176,0.5814657783161721
0.565,0.6484268125854993,0.5278396436525612,0.58195211786372
0.57,0.6498599439775911,0.5167037861915368,0.5756823821339951
0.575,0.6528571428571428,0.5089086859688196,0.5719649561952439
0.58,0.6642011834319527,0.5,0.5705209656925032
0.585,0.670196671709531,0.4933184855233853,0.568313021167415
0.59,0.6744186046511628,0.4844097995545657,0.5638366817887233
0.595,0.6793048973143759,0.47884187082405344,0.5617243631613325
0.6,0.6844660194174758,0.4710467706013363,0.558047493403694
0.605,0.6902800658978583,0.4665924276169265,0.5568106312292359
0.61,0.7033898305084746,0.4621380846325167,0.5577956989247311
0.615,0.7123050259965338,0.4576837416481069,0.5572881355932203
0.62,0.7173524150268337,0.4465478841870824,0.5504461221688401
0.625,0.7226277372262774,0.44097995545657015,0.5477178423236515
0.63,0.7292817679558011,0.44097995545657015,0.549618320610687
0.635,0.7335834896810507,0.4354120267260579,0.5464709993011879
0.6399999999999999,0.7380497131931166,0.4298440979955457,0.5432793807178043
0.6449999999999999,0.7445972495088409,0.4220489977728285,0.5387348969438521
0.6499999999999999,0.7535070140280561,0.41870824053452116,0.5382963493199714
0.6549999999999999,0.7626774847870182,0.41870824053452116,0.5406182602444285
0.6599999999999999,0.7663934426229508,0.41648106904231624,0.5396825396825398
0.6649999999999999,0.7703549060542797,0.410913140311804,0.5359477124183006
0.6699999999999999,0.7702127659574468,0.40311804008908686,0.5292397660818714
0.6749999999999999,0.7794759825327511,0.3975501113585746,0.5265486725663716
0.6799999999999999,0.779510022271715,0.3897550111358575,0.5196733481811432
0.6849999999999999,0.7813211845102506,0.3819599109131403,0.5130890052356021
0.69,0.7829099307159353,0.3775055679287305,0.5093914350112698
0.695,0.7905882352941176,0.3741648106904232,0.507936507936508
0.7,0.7889688249400479,0.366369710467706,0.5003802281368821
0.705,0.7946210268948656,0.3619153674832962,0.49732211170619745
0.71,0.8025,0.3574610244988864,0.49460708782742674
0.715,0.806615776081425,0.3530066815144766,0.4910921766072812
0.72,0.8056265984654731,0.3507795100222717,0.48875096974398763
0.725,0.8056265984654731,0.3507795100222717,0.48875096974398763
0.73,0.8218085106382979,0.344097995545657,0.4850863422291994
0.735,0.827027027027027,0.34075723830734966,0.4826498422712934
0.74,0.8301369863013699,0.3374164810690423,0.47980997624703087
